LHS,10,P1,2,5,8,7,4,1,6,3,2
LHS,10,P1,3,2,8,7,6,2,5,1,2
LHS,10,P1,4,2,2,6,6,5,2,1,6
LHS,10,P1,5,1,8,7,5,3,4,1,6
LHS,10,P1,6,2,8,7,2,4,5,1,6
LHS,10,P1,8,1,8,7,2,4,5,3,6
LHS,10,P1,10,1,8,6,2,3,7,3,5
LHS,10,P2,2,5,8,7,1,4,6,1,1
LHS,10,P2,3,4,8,6,2,2,6,1,5
LHS,10,P2,4,2,6,8,3,3,6,1,5
LHS,10,P2,5,1,8,6,4,3,6,2,5
LHS,10,P2,6,1,3,7,4,5,7,2,6
LHS,10,P2,8,6,8,4,2,1,7,3,4
LHS,10,P2,10,5,8,6,1,1,7,3,3
MVNORM,10,P1,2,5,8,6,1,1,6,1,1
MVNORM,10,P1,3,4,8,6,6,5,3,1,2
MVNORM,10,P1,4,1,2,8,6,5,4,2,6
MVNORM,10,P1,5,6,6,4,5,6,2,1,3
MVNORM,10,P1,6,8,7,6,2,2,4,1,5
MVNORM,10,P1,8,1,8,5,2,3,7,3,5
MVNORM,10,P1,10,1,8,4,2,3,7,5,6
MVNORM,10,P2,2,5,8,7,2,2,6,4,1
MVNORM,10,P2,3,2,7,7,2,2,6,1,2
MVNORM,10,P2,4,8,7,6,1,1,5,1,4
MVNORM,10,P2,5,2,8,7,2,2,6,1,5
MVNORM,10,P2,6,8,1,7,4,2,6,2,5
MVNORM,10,P2,8,7,8,4,3,1,6,4,2
MVNORM,10,P2,10,7,7,5,2,1,6,2,4
